,radius,conc,steps seeds,steps walkers,fractal dimension
0,1,0.040004000000000005,0.5,1.125,2.5047
1,1,0.040004000000000005,0.5,1.75,2.4718
2,1,0.040004000000000005,0.5,2.375,2.4391
3,1,0.040004000000000005,0.5,3.0,2.4084
4,1,0.040004000000000005,1.125,0.5,2.4938
5,1,0.040004000000000005,1.125,1.125,2.4782
6,1,0.040004000000000005,1.125,1.75,2.4552
7,1,0.040004000000000005,1.125,2.375,2.4239
8,1,0.040004000000000005,1.125,3.0,2.4016
9,1,0.040004000000000005,1.75,0.5,2.4559
10,1,0.040004000000000005,1.75,1.125,2.4459
11,1,0.040004000000000005,1.75,1.75,2.4292
12,1,0.040004000000000005,1.75,2.375,2.4072
13,1,0.040004000000000005,1.75,3.0,2.384
14,1,0.040004000000000005,2.375,0.5,2.4188
15,1,0.040004000000000005,2.375,1.125,2.4136
16,1,0.040004000000000005,2.375,1.75,2.4023
17,1,0.040004000000000005,2.375,2.375,2.3832
18,1,0.040004000000000005,2.375,3.0,2.3694
19,1,0.040004000000000005,3.0,0.5,2.3878
20,1,0.040004000000000005,3.0,1.125,2.3863
21,1,0.040004000000000005,3.0,1.75,2.3742
22,1,0.040004000000000005,3.0,2.375,2.3680000000000003
23,1,0.040004000000000005,3.0,3.0,2.3509
24,1,0.054997000000000004,0.5,0.5,2.6167
25,1,0.054997000000000004,0.5,1.125,2.5913
26,1,0.054997000000000004,0.5,1.75,2.5581
27,1,0.054997000000000004,0.5,2.375,2.5261
28,1,0.054997000000000004,0.5,3.0,2.4934
29,1,0.054997000000000004,1.125,0.5,2.5789
30,1,0.054997000000000004,1.125,1.125,2.5639999999999996
31,1,0.054997000000000004,1.125,1.75,2.5399
32,1,0.054997000000000004,1.125,2.375,2.5106
33,1,0.054997000000000004,1.125,3.0,2.4879
34,1,0.054997000000000004,1.75,0.5,2.5422
35,1,0.054997000000000004,1.75,1.125,2.5289
36,1,0.054997000000000004,1.75,1.75,2.5115
37,1,0.054997000000000004,1.75,2.375,2.4937
38,1,0.054997000000000004,1.75,3.0,2.4718
39,1,0.054997000000000004,2.375,0.5,2.5054
40,1,0.054997000000000004,2.375,1.125,2.5012
41,1,0.054997000000000004,2.375,1.75,2.4858
42,1,0.054997000000000004,2.375,2.375,2.4705
43,1,0.054997000000000004,2.375,3.0,2.4551
44,1,0.054997000000000004,3.0,0.5,2.4693
45,1,0.054997000000000004,3.0,1.125,2.4653
46,1,0.054997000000000004,3.0,1.75,2.4612
47,1,0.054997000000000004,3.0,2.375,2.4479
48,1,0.054997000000000004,3.0,3.0,2.4356
49,1,0.069999,0.5,0.5,2.6779
50,1,0.069999,0.5,1.125,2.6531
51,1,0.069999,0.5,1.75,2.6219
52,1,0.069999,0.5,2.375,2.5881
53,1,0.069999,0.5,3.0,2.5556
54,1,0.069999,1.125,0.5,2.6398
55,1,0.069999,1.125,1.125,2.6260000000000003
56,1,0.069999,1.125,1.75,2.6017
57,1,0.069999,1.125,2.375,2.5773
58,1,0.069999,1.125,3.0,2.5474
59,1,0.069999,1.75,0.5,2.6015
60,1,0.069999,1.75,1.125,2.5913
61,1,0.069999,1.75,1.75,2.5764
62,1,0.069999,1.75,2.375,2.5555
63,1,0.069999,1.75,3.0,2.5339
64,1,0.069999,2.375,0.5,2.5661
65,1,0.069999,2.375,1.125,2.5610000000000004
66,1,0.069999,2.375,1.75,2.5482
67,1,0.069999,2.375,2.375,2.5396
68,1,0.069999,2.375,3.0,2.5144
69,1,0.069999,3.0,0.5,2.5255
70,1,0.069999,3.0,1.125,2.5261
71,1,0.069999,3.0,1.75,2.5224
72,1,0.069999,3.0,2.375,2.5107
73,1,0.069999,3.0,3.0,2.4985
74,1,0.085002,0.5,0.5,2.7234
75,1,0.085002,0.5,1.125,2.7018
76,1,0.085002,0.5,1.75,2.6724
77,1,0.085002,0.5,2.375,2.6392
78,1,0.085002,0.5,3.0,2.6055
79,1,0.085002,1.125,0.5,2.6853
80,1,0.085002,1.125,1.125,2.673
81,1,0.085002,1.125,1.75,2.6527
82,1,0.085002,1.125,2.375,2.625
83,1,0.085002,1.125,3.0,2.5982
84,1,0.085002,1.75,0.5,2.6476
85,1,0.085002,1.75,1.125,2.6417
86,1,0.085002,1.75,1.75,2.6251
87,1,0.085002,1.75,2.375,2.6041
88,1,0.085002,1.75,3.0,2.5832
89,1,0.085002,2.375,0.5,2.6127
90,1,0.085002,2.375,1.125,2.6055
91,1,0.085002,2.375,1.75,2.5981
92,1,0.085002,2.375,2.375,2.5825
93,1,0.085002,2.375,3.0,2.5672
94,1,0.085002,3.0,0.5,2.5761
95,1,0.085002,3.0,1.125,2.5732
96,1,0.085002,3.0,1.75,2.5743
97,1,0.085002,3.0,2.375,2.5626
98,1,0.085002,3.0,3.0,2.5484
99,1,0.1,0.5,0.5,2.7603
100,1,0.1,0.5,1.125,2.7388
101,1,0.1,0.5,1.75,2.7091
102,1,0.1,0.5,2.375,2.6775
103,1,0.1,0.5,3.0,2.6453
104,1,0.1,1.125,0.5,2.7214
105,1,0.1,1.125,1.125,2.7119
106,1,0.1,1.125,1.75,2.6894
107,1,0.1,1.125,2.375,2.6663
108,1,0.1,1.125,3.0,2.6372
109,1,0.1,1.75,0.5,2.688
110,1,0.1,1.75,1.125,2.6789
111,1,0.1,1.75,1.75,2.6643
112,1,0.1,1.75,2.375,2.6455
113,1,0.1,1.75,3.0,2.6219
114,1,0.1,2.375,0.5,2.6489999999999996
115,1,0.1,2.375,1.125,2.6406
116,1,0.1,2.375,1.75,2.6341
117,1,0.1,2.375,2.375,2.6245
118,1,0.1,2.375,3.0,2.6059
119,1,0.1,3.0,0.5,2.6142
120,1,0.1,3.0,1.125,2.6163
121,1,0.1,3.0,1.75,2.6065
122,1,0.1,3.0,2.375,2.5974
123,1,0.1,3.0,3.0,2.5883
124,2,0.040034,0.5,0.5,2.5261
125,2,0.040034,0.5,1.125,2.4958
126,2,0.040034,0.5,1.75,2.4636
127,2,0.040034,0.5,2.375,2.4237
128,2,0.040034,0.5,3.0,2.3935
129,2,0.040034,1.125,0.5,2.4809
130,2,0.040034,1.125,1.125,2.4551
131,2,0.040034,1.125,1.75,2.4362
132,2,0.040034,1.125,2.375,2.4103
133,2,0.040034,1.125,3.0,2.383
134,2,0.040034,1.75,0.5,2.4219999999999997
135,2,0.040034,1.75,1.125,2.4136
136,2,0.040034,1.75,1.75,2.3961
137,2,0.040034,1.75,2.375,2.3823
138,2,0.040034,1.75,3.0,2.3642
139,2,0.040034,2.375,0.5,2.3815
140,2,0.040034,2.375,1.125,2.3789
141,2,0.040034,2.375,1.75,2.3626
142,2,0.040034,2.375,2.375,2.3503
143,2,0.040034,2.375,3.0,2.3297
144,2,0.040034,3.0,0.5,2.3445
145,2,0.040034,3.0,1.125,2.3353
146,2,0.040034,3.0,1.75,2.3279
147,2,0.040034,3.0,2.375,2.3211
148,2,0.040034,3.0,3.0,2.3109
149,2,0.054966999999999995,0.5,0.5,2.6072
150,2,0.054966999999999995,0.5,1.125,2.5915
151,2,0.054966999999999995,0.5,1.75,2.5497
152,2,0.054966999999999995,0.5,2.375,2.5177
153,2,0.054966999999999995,0.5,3.0,2.4844
154,2,0.054966999999999995,1.125,0.5,2.5654
155,2,0.054966999999999995,1.125,1.125,2.5437
156,2,0.054966999999999995,1.125,1.75,2.5206
157,2,0.054966999999999995,1.125,2.375,2.4984
158,2,0.054966999999999995,1.125,3.0,2.4678
159,2,0.054966999999999995,1.75,0.5,2.5108
160,2,0.054966999999999995,1.75,1.125,2.5149
161,2,0.054966999999999995,1.75,1.75,2.4978
162,2,0.054966999999999995,1.75,2.375,2.4782
163,2,0.054966999999999995,1.75,3.0,2.4545
164,2,0.054966999999999995,2.375,0.5,2.4819
165,2,0.054966999999999995,2.375,1.125,2.4724
166,2,0.054966999999999995,2.375,1.75,2.4612
167,2,0.054966999999999995,2.375,2.375,2.4471
168,2,0.054966999999999995,2.375,3.0,2.4348
169,2,0.054966999999999995,3.0,0.5,2.439
170,2,0.054966999999999995,3.0,1.125,2.4445
171,2,0.054966999999999995,3.0,1.75,2.4335
172,2,0.054966999999999995,3.0,2.375,2.4259
173,2,0.054966999999999995,3.0,3.0,2.4136
174,2,0.069979,0.5,0.5,2.6582
175,2,0.069979,0.5,1.125,2.6426
176,2,0.069979,0.5,1.75,2.6096
177,2,0.069979,0.5,2.375,2.5861
178,2,0.069979,0.5,3.0,2.56
179,2,0.069979,1.125,0.5,2.6296
180,2,0.069979,1.125,1.125,2.61
181,2,0.069979,1.125,1.75,2.5962
182,2,0.069979,1.125,2.375,2.57
183,2,0.069979,1.125,3.0,2.5411
184,2,0.069979,1.75,0.5,2.5873
185,2,0.069979,1.75,1.125,2.5707
186,2,0.069979,1.75,1.75,2.5627
187,2,0.069979,1.75,2.375,2.5485
188,2,0.069979,1.75,3.0,2.5292
189,2,0.069979,2.375,0.5,2.5466
190,2,0.069979,2.375,1.125,2.5353
191,2,0.069979,2.375,1.75,2.5346
192,2,0.069979,2.375,2.375,2.5206
193,2,0.069979,2.375,3.0,2.5068
194,2,0.069979,3.0,0.5,2.5214
195,2,0.069979,3.0,1.125,2.5097
196,2,0.069979,3.0,1.75,2.5013
197,2,0.069979,3.0,2.375,2.495
198,2,0.069979,3.0,3.0,2.4889
199,2,0.084992,0.5,0.5,2.6973
200,2,0.084992,0.5,1.125,2.6885
201,2,0.084992,0.5,1.75,2.6618
202,2,0.084992,0.5,2.375,2.6337
203,2,0.084992,0.5,3.0,2.6064
204,2,0.084992,1.125,0.5,2.675
205,2,0.084992,1.125,1.125,2.6646
206,2,0.084992,1.125,1.75,2.6409
207,2,0.084992,1.125,2.375,2.616
208,2,0.084992,1.125,3.0,2.5908
209,2,0.084992,1.75,0.5,2.6359
210,2,0.084992,1.75,1.125,2.6341
211,2,0.084992,1.75,1.75,2.6078
212,2,0.084992,1.75,2.375,2.592
213,2,0.084992,1.75,3.0,2.5751
214,2,0.084992,2.375,0.5,2.6066
215,2,0.084992,2.375,1.125,2.5987
216,2,0.084992,2.375,1.75,2.583
217,2,0.084992,2.375,2.375,2.5738
218,2,0.084992,2.375,3.0,2.5502
219,2,0.084992,3.0,0.5,2.5631
220,2,0.084992,3.0,1.125,2.5635
221,2,0.084992,3.0,1.75,2.5565
222,2,0.084992,3.0,2.375,2.551
223,2,0.084992,3.0,3.0,2.5364
224,2,0.1,0.5,0.5,2.7302
225,2,0.1,0.5,1.125,2.7177
226,2,0.1,0.5,1.75,2.6974
227,2,0.1,0.5,2.375,2.6704
228,2,0.1,0.5,3.0,2.6502
229,2,0.1,1.125,0.5,2.7034
230,2,0.1,1.125,1.125,2.6985
231,2,0.1,1.125,1.75,2.6758
232,2,0.1,1.125,2.375,2.6588
233,2,0.1,1.125,3.0,2.6418
234,2,0.1,1.75,0.5,2.6738
235,2,0.1,1.75,1.125,2.665
236,2,0.1,1.75,1.75,2.6556
237,2,0.1,1.75,2.375,2.641
238,2,0.1,1.75,3.0,2.6212
239,2,0.1,2.375,0.5,2.6395
240,2,0.1,2.375,1.125,2.6342
241,2,0.1,2.375,1.75,2.6297
242,2,0.1,2.375,2.375,2.6112
243,2,0.1,2.375,3.0,2.6047
244,2,0.1,3.0,0.5,2.6089
245,2,0.1,3.0,1.125,2.6077
246,2,0.1,3.0,1.75,2.6044
247,2,0.1,3.0,2.375,2.592
248,2,0.1,3.0,3.0,2.5785
249,3,0.039944,0.5,0.5,2.4446
250,3,0.039944,0.5,1.125,2.4271
251,3,0.039944,0.5,1.75,2.4187
252,3,0.039944,0.5,2.375,2.4043
253,3,0.039944,0.5,3.0,2.3735
254,3,0.039944,1.125,0.5,2.4105
255,3,0.039944,1.125,1.125,2.4073
256,3,0.039944,1.125,1.75,2.3867
257,3,0.039944,1.125,2.375,2.3574
258,3,0.039944,1.125,3.0,2.3398
259,3,0.039944,1.75,0.5,2.3687
260,3,0.039944,1.75,1.125,2.3654
261,3,0.039944,1.75,1.75,2.3537
262,3,0.039944,1.75,2.375,2.3366
263,3,0.039944,1.75,3.0,2.3174
264,3,0.039944,2.375,0.5,2.3189
265,3,0.039944,2.375,1.125,2.332
266,3,0.039944,2.375,1.75,2.3235
267,3,0.039944,2.375,2.375,2.3157
268,3,0.039944,2.375,3.0,2.3119
269,3,0.039944,3.0,0.5,2.2832
270,3,0.039944,3.0,1.125,2.2879
271,3,0.039944,3.0,1.75,2.2746
272,3,0.039944,3.0,2.375,2.2678
273,3,0.039944,3.0,3.0,2.2745
274,3,0.054957000000000006,0.5,0.5,2.5135
275,3,0.054957000000000006,0.5,1.125,2.4988
276,3,0.054957000000000006,0.5,1.75,2.5101
277,3,0.054957000000000006,0.5,2.375,2.4966
278,3,0.054957000000000006,0.5,3.0,2.4628
279,3,0.054957000000000006,1.125,0.5,2.4859999999999998
280,3,0.054957000000000006,1.125,1.125,2.5025
281,3,0.054957000000000006,1.125,1.75,2.4868
282,3,0.054957000000000006,1.125,2.375,2.4683
283,3,0.054957000000000006,1.125,3.0,2.4628
284,3,0.054957000000000006,1.75,0.5,2.4576
285,3,0.054957000000000006,1.75,1.125,2.4571
286,3,0.054957000000000006,1.75,1.75,2.4615
287,3,0.054957000000000006,1.75,2.375,2.437
288,3,0.054957000000000006,1.75,3.0,2.4327
289,3,0.054957000000000006,2.375,0.5,2.4091
290,3,0.054957000000000006,2.375,1.125,2.4246
291,3,0.054957000000000006,2.375,1.75,2.4301
292,3,0.054957000000000006,2.375,2.375,2.4114
293,3,0.054957000000000006,2.375,3.0,2.4108
294,3,0.054957000000000006,3.0,0.5,2.4041
295,3,0.054957000000000006,3.0,1.125,2.4024
296,3,0.054957000000000006,3.0,1.75,2.3925
297,3,0.054957000000000006,3.0,2.375,2.3867
298,3,0.054957000000000006,3.0,3.0,2.3803
299,3,0.06997,0.5,0.5,2.5865
300,3,0.06997,0.5,1.125,2.5689
301,3,0.06997,0.5,1.75,2.5639
302,3,0.06997,0.5,2.375,2.568
303,3,0.06997,0.5,3.0,2.5471
304,3,0.06997,1.125,0.5,2.5580000000000003
305,3,0.06997,1.125,1.125,2.5556
306,3,0.06997,1.125,1.75,2.5622
307,3,0.06997,1.125,2.375,2.5306
308,3,0.06997,1.125,3.0,2.5371
309,3,0.06997,1.75,0.5,2.5496
310,3,0.06997,1.75,1.125,2.544
311,3,0.06997,1.75,1.75,2.5241
312,3,0.06997,1.75,2.375,2.5218
313,3,0.06997,1.75,3.0,2.5145
314,3,0.06997,2.375,0.5,2.5147
315,3,0.06997,2.375,1.125,2.4976
316,3,0.06997,2.375,1.75,2.5072
317,3,0.06997,2.375,2.375,2.4999
318,3,0.06997,2.375,3.0,2.4699
319,3,0.06997,3.0,0.5,2.4948
320,3,0.06997,3.0,1.125,2.479
321,3,0.06997,3.0,1.75,2.4849
322,3,0.06997,3.0,2.375,2.4706
323,3,0.06997,3.0,3.0,2.4573
324,3,0.084982,0.5,0.5,2.6412
325,3,0.084982,0.5,1.125,2.6233
326,3,0.084982,0.5,1.75,2.6142
327,3,0.084982,0.5,2.375,2.6009
328,3,0.084982,0.5,3.0,2.5912
329,3,0.084982,1.125,0.5,2.6153
330,3,0.084982,1.125,1.125,2.6136
331,3,0.084982,1.125,1.75,2.6057
332,3,0.084982,1.125,2.375,2.6035
333,3,0.084982,1.125,3.0,2.5895
334,3,0.084982,1.75,0.5,2.6009
335,3,0.084982,1.75,1.125,2.5869999999999997
336,3,0.084982,1.75,1.75,2.5932
337,3,0.084982,1.75,2.375,2.5692
338,3,0.084982,1.75,3.0,2.5686
339,3,0.084982,2.375,0.5,2.562
340,3,0.084982,2.375,1.125,2.5649
341,3,0.084982,2.375,1.75,2.5696
342,3,0.084982,2.375,2.375,2.5580000000000003
343,3,0.084982,2.375,3.0,2.5343
344,3,0.084982,3.0,0.5,2.5426
345,3,0.084982,3.0,1.125,2.5334
